Date,Home Team,Score,Away Team
20-12-2025,Derby,1 - 1,Portsmouth
15-12-2025,Sheffield Weds,0 - 3,Derby
10-12-2025,Derby,1 - 1,Millwall
06-12-2025,Derby,1 - 3,Leicester
29-11-2025,Middlesbrough,2 - 1,Derby
25-11-2025,Swansea,1 - 2,Derby
22-11-2025,Derby,2 - 3,Watford
08-11-2025,Blackburn,1 - 2,Derby
04-11-2025,Derby,2 - 1,Hull
01-11-2025,Sheffield United,1 - 3,Derby
25-10-2025,Derby,1 - 0,QPR
21-10-2025,Derby,1 - 0,Norwich
18-10-2025,Oxford,1 - 0,Derby
04-10-2025,Derby,1 - 1,Southampton
30-09-2025,Derby,1 - 1,Charlton
27-09-2025,Wrexham,1 - 1,Derby
20-09-2025,Derby,0 - 1,Preston
13-09-2025,West Brom,0 - 1,Derby
30-08-2025,Ipswich,2 - 2,Derby
22-08-2025,Derby,1 - 1,Bristol City
16-08-2025,Derby,3 - 5,Coventry
09-08-2025,Stoke,3 - 1,Derby
01-01-2026,Hull,0 - 1,Stoke
29-12-2025,Middlesbrough,0 - 1,Hull
26-12-2025,Sheffield Weds,2 - 2,Hull
20-12-2025,Hull,1 - 0,West Brom
13-12-2025,Millwall,1 - 3,Hull
10-12-2025,Hull,2 - 0,Wrexham
05-12-2025,Hull,1 - 4,Middlesbrough
29-11-2025,Stoke,1 - 2,Hull
25-11-2025,Hull,0 - 2,Ipswich
22-11-2025,QPR,3 - 2,Hull
08-11-2025,Hull,3 - 2,Portsmouth
04-11-2025,Derby,2 - 1,Hull
01-11-2025,Norwich,0 - 2,Hull
25-10-2025,Hull,1 - 1,Charlton
21-10-2025,Hull,2 - 1,Leicester
18-10-2025,Birmingham,2 - 3,Hull
04-10-2025,Hull,1 - 0,Sheffield United
30-09-2025,Hull,2 - 2,Preston
27-09-2025,Watford,2 - 1,Hull
20-09-2025,Hull,3 - 1,Southampton
13-09-2025,Swansea,2 - 2,Hull
30-08-2025,Bristol City,4 - 2,Hull
23-08-2025,Hull,0 - 3,Blackburn
17-08-2025,Hull,3 - 2,Oxford
09-08-2025,Coventry,0 - 0,Hull
01-01-2026,Ipswich,2 - 1,Oxford
29-12-2025,Coventry,0 - 2,Ipswich
26-12-2025,Millwall,0 - 0,Ipswich
20-12-2025,Ipswich,3 - 1,Sheffield Weds
13-12-2025,Leicester,3 - 1,Ipswich
10-12-2025,Ipswich,1 - 0,Stoke
06-12-2025,Ipswich,3 - 0,Coventry
02-12-2025,Blackburn,1 - 1,Ipswich
28-11-2025,Oxford,2 - 1,Ipswich
25-11-2025,Hull,0 - 2,Ipswich
22-11-2025,Ipswich,0 - 0,Wrexham
08-11-2025,Swansea,1 - 4,Ipswich
04-11-2025,Ipswich,1 - 1,Watford
01-11-2025,QPR,1 - 4,Ipswich
25-10-2025,Ipswich,1 - 0,West Brom
21-10-2025,Ipswich,0 - 3,Charlton
17-10-2025,Middlesbrough,2 - 1,Ipswich
05-10-2025,Ipswich,3 - 1,Norwich
30-09-2025,Bristol City,1 - 1,Ipswich
27-09-2025,Ipswich,2 - 1,Portsmouth
12-09-2025,Ipswich,5 - 0,Sheffield United
30-08-2025,Ipswich,2 - 2,Derby
23-08-2025,Preston,1 - 0,Ipswich
17-08-2025,Ipswich,1 - 1,Southampton
08-08-2025,Birmingham,1 - 1,Ipswich
05-01-2026,Leicester,2 - 1,West Brom
01-01-2026,Sheffield United,3 - 1,Leicester
29-12-2025,Leicester,2 - 1,Derby
26-12-2025,Leicester,1 - 2,Watford
20-12-2025,QPR,4 - 1,Leicester
13-12-2025,Leicester,3 - 1,Ipswich
10-12-2025,Bristol City,2 - 2,Leicester
06-12-2025,Derby,1 - 3,Leicester
29-11-2025,Leicester,2 - 3,Sheffield United
25-11-2025,Southampton,3 - 0,Leicester
22-11-2025,Leicester,2 - 1,Stoke
