Date,Home Team,Score,Away Team
01-10-2025,Norwich,0 - 1,West Brom
26-09-2025,West Brom,1 - 1,Leicester
19-09-2025,Middlesbrough,2 - 1,West Brom
13-09-2025,West Brom,0 - 1,Derby
30-08-2025,Stoke,0 - 1,West Brom
23-08-2025,West Brom,1 - 1,Portsmouth
16-08-2025,Wrexham,2 - 3,West Brom
09-08-2025,West Brom,1 - 0,Blackburn
04-01-2026,Derby,1 - 2,Wrexham
01-01-2026,Blackburn,0 - 2,Wrexham
29-12-2025,Wrexham,2 - 1,Preston
26-12-2025,Wrexham,5 - 3,Sheffield United
19-12-2025,Swansea,2 - 1,Wrexham
13-12-2025,Wrexham,2 - 2,Watford
10-12-2025,Hull,2 - 0,Wrexham
06-12-2025,Preston,1 - 1,Wrexham
29-11-2025,Wrexham,1 - 1,Blackburn
26-11-2025,Wrexham,2 - 0,Bristol City
22-11-2025,Ipswich,0 - 0,Wrexham
08-11-2025,Wrexham,1 - 0,Charlton
05-11-2025,Portsmouth,0 - 0,Wrexham
31-10-2025,Wrexham,3 - 2,Coventry
25-10-2025,Middlesbrough,1 - 1,Wrexham
22-10-2025,Wrexham,1 - 0,Oxford
18-10-2025,Stoke,1 - 0,Wrexham
03-10-2025,Wrexham,1 - 1,Birmingham
30-09-2025,Leicester,1 - 1,Wrexham
27-09-2025,Wrexham,1 - 1,Derby
20-09-2025,Norwich,2 - 3,Wrexham
13-09-2025,Wrexham,1 - 3,QPR
30-08-2025,Millwall,0 - 2,Wrexham
23-08-2025,Wrexham,2 - 2,Sheffield Weds
16-08-2025,Wrexham,2 - 3,West Brom
09-08-2025,Southampton,2 - 1,Wrexham
