Title,Author,Runtime,Release Date,Language
Kingdom Prosperity,By: Greg Mitchell,Length: 9 hrs,Release date: 01-02-26,Language: English
Armageddon,By: Craig Alanson,Length: 17 hrs and 51 mins,Release date: 11-05-19,Language: English
Blossoming in the Chaos,By: Timothy Benson,Length: 1 hr and 8 mins,Release date: 08-11-25,Language: English
Scythe & Sparrow,"By: Brynne Weaver, Nadia Toffanello - traduttore",Length: 13 hrs and 8 mins,Release date: 12-17-25,Language: Italian
Echoes of Iron and Ash,By: Roosevelt Wilkerson Kassie,Length: 3 hrs and 42 mins,Release date: 08-11-25,Language: English
One Last Summer,By: Andre Walker,Length: 1 hr and 37 mins,Release date: 05-23-25,Language: English
The Holy Bible: King James Version,By: King James Bible,Length: 82 hrs and 53 mins,Release date: 11-17-20,Language: English
The Unlucky Mister Locke,By: Kristen Painter,Length: 8 hrs and 26 mins,Release date: 12-30-25,Language: English
Oz: The Complete Collection,By: L. Frank Baum,Length: 64 hrs and 23 mins,Release date: 09-21-23,Language: English
A Bond So Fierce and Fragile,By: Sophia St. Germain,Length: 13 hrs and 14 mins,Release date: 02-10-26,Language: English
Blood of Liscor,By: pirateaba,Length: 43 hrs,Release date: 11-22-22,Language: English
The Jane Austen Collection,By: Jane Austen,Length: 45 hrs,Release date: 11-05-20,Language: English
Phantom of the Haunted Bog,By: K. Georgiades aka PathOfPen,Length: 21 hrs and 8 mins,Release date: 12-31-25,Language: English
After All This Time,By: Tamara Vann,Length: 1 hr and 59 mins,Release date: 08-25-25,Language: English
Best Laid Plans,By: Sarah Hart-Unger,Length: 5 hrs and 14 mins,Release date: 01-06-26,Language: English
What Have I Done?,By: Teresa Driscoll,Length: 9 hrs and 15 mins,Release date: 01-06-26,Language: English
After the Light,By: Terry Crummitt,Length: 1 hr and 34 mins,Release date: 08-08-25,Language: English
The Place We Never Reached,By: Thomas J. Schriever,Length: 1 hr and 18 mins,Release date: 08-11-25,Language: English
"Two Necromancers, a Fortress, and a Titan: Part Two",By: L.G. Estrella,Length: 23 hrs and 37 mins,Release date: 12-02-25,Language: English
Black Ops,By: Craig Alanson,Length: 16 hrs and 44 mins,Release date: 09-26-17,Language: English
Christmas at Valentine Inn,By: Jennifer Peel,Length: 9 hrs and 25 mins,Release date: 12-08-22,Language: English
Iron Gold,By: Pierce Brown,Length: 23 hrs and 23 mins,Release date: 01-16-18,Language: English
Ship of Prophecy Box Set: The Complete 10-Book Series,By: Scott Bartlett,Length: 75 hrs and 29 mins,Release date: 05-07-25,Language: English
A Builder of Dreams,By: Azalea Ellis,Length: 9 hrs and 39 mins,Release date: 12-31-25,Language: English
Stolen Dove,By: Dahlia Vale,Length: 2 hrs and 33 mins,Release date: 01-05-26,Language: English
Winter Solstice,By: pirateaba,Length: 34 hrs and 14 mins,Release date: 07-27-21,Language: English
Mirrors of Indigo,By: Rita L Neves,Length: 2 hrs and 15 mins,Release date: 07-28-25,Language: English
The Perfect Nanny,By: D.L. Fisher,Length: 7 hrs and 20 mins,Release date: 10-16-25,Language: English
Carl's Doomsday Scenario,By: Matt Dinniman,Length: 11 hrs and 28 mins,Release date: 04-22-21,Language: English
The General of Izril,By: pirateaba,Length: 34 hrs and 1 min,Release date: 04-26-22,Language: English
Echo Protocol,By: Thomas Rodriguez Sunniland,Length: 1 hr and 44 mins,Release date: 07-14-25,Language: English
Zero Hour,By: Craig Alanson,Length: 17 hrs and 20 mins,Release date: 02-06-18,Language: English
The Right to Remain,By: James Grippando,Length: 11 hrs and 20 mins,Release date: 01-06-26,Language: English
Red Rising,By: Pierce Brown,Length: 16 hrs and 12 mins,Release date: 01-28-14,Language: English
Diary of a Wimpy Kid,By: Jeff Kinney,Length: 1 hr and 57 mins,Release date: 03-10-08,Language: English
Dune,By: Frank Herbert,Length: 21 hrs and 2 mins,Release date: 12-31-06,Language: English
Failure Mode,By: Craig Alanson,Length: 19 hrs and 22 mins,Release date: 12-06-22,Language: English
King Sorrow,By: Joe Hill,Length: 26 hrs and 4 mins,Release date: 10-21-25,Language: English
The Dark Road Series Collection,By: Bruno Miller,Length: 20 hrs and 16 mins,Release date: 02-12-19,Language: English
Through Gates of Garnet and Gold,By: Seanan McGuire,Length: 4 hrs and 33 mins,Release date: 01-06-26,Language: English
Domination,By: BJ Alpha,Length: 6 hrs and 47 mins,Release date: 12-29-25,Language: English
The Last Survivors Box Set,"By: Bobby Adair, T.W. Piperbrook",Length: 50 hrs and 24 mins,Release date: 03-26-19,Language: English
He Who Fights with Monsters 11: A LitRPG Adventure,"By: Shirtaloon, Travis Deverell",Length: 26 hrs and 19 mins,Release date: 07-23-24,Language: English
A Chance Encounter,By: J.P. Pomare,Length: 6 hrs and 44 mins,Release date: 12-02-25,Language: English
Shards of Stardust,By: Rachel August,Length: 1 hr and 22 mins,Release date: 05-27-25,Language: English
Home Again,By: Tiffany W White,Length: 1 hr and 11 mins,Release date: 08-13-25,Language: English
Kingston,By: M. Monique,Length: 7 hrs and 38 mins,Release date: 01-06-26,Language: English
Winning Lottery and Fortune Affirmations: 2-in-1 Book,By: Miles Golden,Length: 20 hrs and 4 mins,Release date: 01-05-26,Language: English
The Heaven Trilogy,By: Ted Dekker,Length: 44 hrs and 15 mins,Release date: 01-06-26,Language: English
Homestead,By: Sara Donati,Length: 7 hrs and 50 mins,Release date: 01-06-26,Language: English
Renegades,By: Craig Alanson,Length: 17 hrs and 7 mins,Release date: 03-26-19,Language: English
Chasing the Cold Doctor,By: Vickie L Derke,Length: 1 hr and 14 mins,Release date: 08-11-25,Language: English
The Clock Strikes Forward,By: Tineka Moody,Length: 1 hr and 7 mins,Release date: 08-13-25,Language: English
Whispers of Forgotten Promises,By: Valerie Watts,Length: 1 hr and 12 mins,Release date: 08-06-25,Language: English
No Escape,By: Jillian West,Length: 7 hrs and 16 mins,Release date: 01-06-26,Language: English
Shadow Hearts,By: Ryan Sanders,Length: 1 hr and 12 mins,Release date: 05-27-25,Language: English
"Merry Christmas, You Filthy Animal",By: Meghan Quinn,Length: 12 hrs and 6 mins,Release date: 10-14-25,Language: English
Fourth Wing,By: Rebecca Yarros,Length: 22 hrs and 2 mins,Release date: 05-02-23,Language: English
Before the Dusty Bible,By: Michael J. Melton,Length: 7 hrs and 7 mins,Release date: 12-04-25,Language: English
Cursed King: A Contemporary Beauty and the Beast Retelling Romance,"By: Julie Saman, J. Saman",Length: 9 hrs and 52 mins,Release date: 12-26-25,Language: English
Behind Closed Doors,By: Kyana Cole,Length: 5 hrs and 7 mins,Release date: 01-05-26,Language: English
Defiance of the Fall 4: A LitRPG Adventure,"By: TheFirstDefier, JF Brink",Length: 22 hrs and 47 mins,Release date: 02-22-22,Language: English
He Who Fights with Monsters 9,"By: Shirtaloon, Travis Deverell",Length: 28 hrs and 3 mins,Release date: 04-18-23,Language: English
Quicksilver,By: Callie Hart,Length: 20 hrs and 41 mins,Release date: 10-29-24,Language: English
The Last Light,By: pirateaba,Length: 52 hrs and 17 mins,Release date: 11-23-21,Language: English
The Whispering Wood,By: Carol Reed,Length: 2 hrs and 28 mins,Release date: 05-27-25,Language: English
Dungeon Crawler Carl,By: Matt Dinniman,Length: 13 hrs and 31 mins,Release date: 01-28-21,Language: English
Pet Project,By: Shawn Eric Allen,Length: 1 hr and 3 mins,Release date: 06-09-25,Language: English
The Darkwood Trilogy,By: Anthea Sharp,Length: 33 hrs and 27 mins,Release date: 09-13-22,Language: English
Shaping Sound,By: Patrick Miller,Length: 2 hrs and 29 mins,Release date: 12-05-25,Language: English
Centering Prayer and the Healing of the Unconscious,By: Fr. Murchadh O Madagain,Length: 8 hrs and 28 mins,Release date: 01-05-26,Language: English
Hell Difficulty Tutorial 5,By: Cerim,Length: 23 hrs and 36 mins,Release date: 12-15-25,Language: English
"All Jobs and Classes! I Just Wanted One Skill, Not Them All!",By: Comedian0 L,Length: 21 hrs and 29 mins,Release date: 12-20-25,Language: English
The Best Wild Idea,By: Lily Parker,Length: 10 hrs and 1 min,Release date: 10-23-25,Language: English
My Missing Boy,By: D.L. Fisher,Length: 8 hrs and 26 mins,Release date: 11-11-25,Language: English
Love in the Castle Library,By: Ann Swindell,Length: 11 hrs and 21 mins,Release date: 01-06-26,Language: English
Hunger in His Blood,By: Zoey Draven,Length: 12 hrs and 46 mins,Release date: 01-05-26,Language: English
Saddle to Sunup,By: Emmy Sanders,Length: 8 hrs and 17 mins,Release date: 12-23-25,Language: English
Dragon Riders of Ragond,By: Ava Richardson,Length: 95 hrs and 48 mins,Release date: 02-06-25,Language: English
One Door Away from Heaven,By: Dean Koontz,Length: 22 hrs and 26 mins,Release date: 12-16-25,Language: English
Little Stranger,By: Leigh Rivers,Length: 7 hrs and 24 mins,Release date: 09-17-25,Language: German
The Twist of Forgetting,By: Adrian Jimel Thomas,Length: 1 hr and 26 mins,Release date: 08-01-25,Language: English
Definitely NOT a Thing,By: Christina C. Jones,Length: 5 hrs and 15 mins,Release date: 11-19-25,Language: English
The Things We Never Said,By: Shannon McCracken,Length: 1 hr and 13 mins,Release date: 05-29-25,Language: English
"Keeping the Baby, Ditching the Billionaire",By: Sharon Marie,Length: 1 hr and 24 mins,Release date: 07-23-25,Language: English
The House Beyond Crystal Creek,By: Christina Marie Maxwell,Length: 1 hr and 4 mins,Release date: 08-13-25,Language: English
The Lost Diamond,By: Ellen Barksdale,Length: 4 hrs and 26 mins,Release date: 01-01-26,Language: English
He Who Fights with Monsters 5,"By: Shirtaloon, Travis Deverell",Length: 20 hrs and 5 mins,Release date: 04-05-22,Language: English
The 30-Day Inflammatory Reset,By: Josh Redd NMD MS MAPHB NMD MS MAPHB,Length: 3 hrs and 25 mins,Release date: 01-06-26,Language: English
Remarkably Bright Creatures,By: Shelby Van Pelt,Length: 11 hrs and 16 mins,Release date: 05-03-22,Language: English
The Vanishing at Hallwood Hall,By: Helena Marchmont,Length: 3 hrs and 23 mins,Release date: 01-01-26,Language: English
Flockbound,By: J. L. Mullins,Length: 23 hrs and 30 mins,Release date: 12-19-25,Language: English
Under Gorse and Stone,By: Lily Morton,Length: 9 hrs and 34 mins,Release date: 12-24-25,Language: English
The Housemaid Is Watching,By: Freida McFadden,Length: 11 hrs and 42 mins,Release date: 06-11-24,Language: English
Soul Knight 4,By: J J Bookerson,Length: 24 hrs and 26 mins,Release date: 12-17-25,Language: English
Lunatic's Landing,"By: Kyle Kirrin, Portal Books",Length: 16 hrs and 28 mins,Release date: 11-14-25,Language: English
Exile,By: Steph Macca,Length: 9 hrs and 25 mins,Release date: 10-22-25,Language: English
Queen of Shadows,By: Sarah J. Maas,Length: 20 hrs and 43 mins,Release date: 09-01-15,Language: English
The Long Game,By: Rachel Reid,Length: 12 hrs and 52 mins,Release date: 04-26-22,Language: English
The Primal of Blood and Bone,By: Jennifer L. Armentrout,Length: 40 hrs and 34 mins,Release date: 09-23-25,Language: English
Iron Flame (Part 1 of 2) (Dramatized Adaptation),By: Rebecca Yarros,Length: 11 hrs and 38 mins,Release date: 05-17-24,Language: English
Chasing Silence,By: Rochelle New Mommom,Length: 1 hr and 28 mins,Release date: 06-10-25,Language: English
No More Mediocre,By: Laura Danger,Length: 9 hrs and 25 mins,Release date: 01-06-26,Language: English
The Primal Hunter 5,By: Zogarth,Length: 17 hrs and 47 mins,Release date: 05-17-23,Language: English
The Primal Hunter 10,By: Zogarth,Length: 20 hrs and 23 mins,Release date: 11-06-24,Language: English
Heaven Forbid,By: Rosalind James,Length: 11 hrs and 23 mins,Release date: 01-01-26,Language: English
Manipuladores en el Trabajo,By: John Badman,Length: 4 hrs and 15 mins,Release date: 12-24-25,Language: Spanish
Echoes,By: Steph Macca,Length: 7 hrs and 7 mins,Release date: 06-27-25,Language: English
The Sky Between Us,By: Tina Christine Claville,Length: 1 hr and 15 mins,Release date: 08-07-25,Language: English
A Claim of Fortune,By: Jaymin Eve,Length: 16 hrs and 1 min,Release date: 12-01-25,Language: English
Empire of Storms,By: Sarah J. Maas,Length: 25 hrs and 18 mins,Release date: 09-06-16,Language: English
Kingdom of Ash,By: Sarah J. Maas,Length: 33 hrs and 11 mins,Release date: 10-23-18,Language: English
Tower of Dawn,By: Sarah J. Maas,Length: 22 hrs and 39 mins,Release date: 09-05-17,Language: English
From Blood and Ash,By: Jennifer L. Armentrout,Length: 19 hrs and 46 mins,Release date: 09-08-20,Language: English
Fourth Wing (Part 2 of 2) (Dramatized Adaptation),By: Rebecca Yarros,Length: 10 hrs and 40 mins,Release date: 02-09-24,Language: English
'Til I Say When,By: Natisha Raynor,Length: 6 hrs and 24 mins,Release date: 11-11-25,Language: English
Sunrise on the Reaping,By: Suzanne Collins,Length: 12 hrs and 48 mins,Release date: 03-18-25,Language: English
Sector 64 Box Set: The Complete Alien Invasion Trilogy,By: Dean M. Cole,Length: 24 hrs and 26 mins,Release date: 12-02-25,Language: English
Onyx Storm (Part 2 of 2) (Dramatized Adaptation),By: Rebecca Yarros,Length: 10 hrs and 17 mins,Release date: 07-02-25,Language: English
The Five Girls You Date in Space Prison,By: J Foster Ward,Length: 18 hrs and 27 mins,Release date: 12-24-25,Language: English
In Spite of It All,By: Alexandra Warren,Length: 7 hrs and 7 mins,Release date: 01-05-26,Language: English
Primal Hunter 4,By: Zogarth,Length: 20 hrs and 28 mins,Release date: 12-06-22,Language: English
He Who Fights with Monsters 8,"By: Shirtaloon, Travis Deverell",Length: 18 hrs and 12 mins,Release date: 12-13-22,Language: English
Regressor Sect Master,By: Spaizzzer,Length: 19 hrs and 8 mins,Release date: 11-25-25,Language: English
Artemis,By: Andy Weir,Length: 8 hrs and 57 mins,Release date: 11-14-17,Language: English
"DOLORES, Part Two: Home at Last (Expanding Love)","By: Catherine Paiz, Riley J. Ford",Length: 4 hrs and 55 mins,Release date: 12-23-25,Language: English
Royal Dragons Omnibus,"By: Marcus Sloss, Jace Cannon",Length: 54 hrs and 42 mins,Release date: 12-23-25,Language: English
Loser Luna,By: S.F. Heart,Length: 8 hrs and 12 mins,Release date: 01-05-26,Language: English
This Christmas,By: Leeanne Slade,Length: 4 hrs and 11 mins,Release date: 10-20-25,Language: English
Defiance of the Fall 8,"By: TheFirstDefier, JF Brink",Length: 23 hrs and 22 mins,Release date: 12-30-22,Language: English
"Heroine? Saint? No, I'm an All-Works Maid (And Proud of It)! (Light Novel), Vol. 4",By: Atekichi,Length: 8 hrs and 18 mins,Release date: 12-30-25,Language: English
Aftermath,By: Craig Alanson,Length: 19 hrs and 10 mins,Release date: 12-12-23,Language: English
Throne of Glass (Dramatized Adaptation),By: Sarah J. Maas,Length: 11 hrs,Release date: 04-30-26,Language: English
"Yes to You, No to Them",By: WALLO267,Length: 2 hrs and 34 mins,Release date: 12-26-25,Language: English
Four Laws: The Complete Series,By: David Burke,Length: 85 hrs and 21 mins,Release date: 10-14-25,Language: English
The Word of Promise Audio Bible: Complete Bible---Hear the Bible Come Alive (NKJV),By: Thomas Nelson,Length: 98 hrs and 1 min,Release date: 11-05-09,Language: English
The ABC Murders,"By: Agatha Christie, Anna Lea - adaptation",Length: 4 hrs and 44 mins,Release date: 10-20-25,Language: English
The Intruder,By: Freida McFadden,Length: 8 hrs and 19 mins,Release date: 10-07-25,Language: English
A People's History of the United States,By: Howard Zinn,Length: 34 hrs and 8 mins,Release date: 12-14-09,Language: English
Cozy Witch Mysteries: Special Edition Box Set of 8 Books,By: Angela Pepper,Length: 77 hrs and 20 mins,Release date: 03-13-23,Language: English
Mafia Kings: Niccolo,By: Olivia Thorn,Length: 17 hrs,Release date: 12-24-25,Language: English
Fourth Wing (Part 1 of 2) (Dramatized Adaptation),By: Rebecca Yarros,Length: 7 hrs and 52 mins,Release date: 12-27-23,Language: English
The Final Betrayal,"By: Patrick Wood, Courtenay Turner",Length: 3 hrs and 36 mins,Release date: 12-29-25,Language: English
Towerbound Book 2: Scrapbound,By: Samson Chui,Length: 15 hrs and 53 mins,Release date: 01-02-26,Language: English
The Housemaid's Wedding,By: Freida McFadden,Length: 1 hr and 44 mins,Release date: 06-24-25,Language: English
The Holiday Ex-Files,By: Jennifer Peel,Length: 10 hrs and 1 min,Release date: 12-08-21,Language: English
Critical Mass,By: Craig Alanson,Length: 19 hrs and 25 mins,Release date: 08-04-20,Language: English
The Door to December,By: Dean Koontz,Length: 13 hrs and 36 mins,Release date: 11-25-25,Language: English
"Mushoku Tensei: Redundant Reincarnation, Vol. 3",By: Rifujin na Magonote,Length: 6 hrs and 16 mins,Release date: 12-19-25,Language: English
Legacy,By: Carrie Ann Ryan,Length: 9 hrs and 5 mins,Release date: 01-05-26,Language: English
The World's Wimpiest Vampire,By: Silvana Falcon,Length: 9 hrs and 1 min,Release date: 12-30-25,Language: English
The Will of the Many,By: James Islington,Length: 28 hrs and 14 mins,Release date: 05-23-23,Language: English
Stalked,By: Selena Winters,Length: 9 hrs and 43 mins,Release date: 01-02-26,Language: English
Bound,By: Ali Hazelwood,Length: 7 hrs and 7 mins,Release date: 11-11-25,Language: English
Torrent Witches Cozy Mysteries Complete Box Set: Books 1-10,By: Tess Lake,Length: 65 hrs and 31 mins,Release date: 04-27-22,Language: English
C. S. Lewis Essential Audio Library,By: C. S. Lewis,Length: 38 hrs and 50 mins,Release date: 09-07-21,Language: English
Pride and Prejudice,By: Jane Austen,Length: 11 hrs and 35 mins,Release date: 12-08-15,Language: English
Gridfall,By: Ashley Judge,Length: 7 hrs,Release date: 01-05-26,Language: English
"The Witches of Scotland: The Complete Series, Books 1-8",By: Steven P Aitchison,Length: 32 hrs and 7 mins,Release date: 10-24-24,Language: English
Whips and Chains,By: Elle Thorpe,Length: 9 hrs and 17 mins,Release date: 11-04-25,Language: English
Thinking the Pluri Person Through Ironic,By: Melissa Smith,Length: 11 hrs and 17 mins,Release date: 12-31-25,Language: English
Wild Era 2,By: David North,Length: 15 hrs and 56 mins,Release date: 12-19-25,Language: English
He Who Fights with Monsters 10,"By: Shirtaloon, Travis Deverell",Length: 25 hrs and 18 mins,Release date: 11-28-23,Language: English
The Primal Hunter 9: A LitRPG Adventure,By: Zogarth,Length: 20 hrs and 23 mins,Release date: 07-02-24,Language: English
Rebirth,By: Sarah Hawke,Length: 12 hrs and 23 mins,Release date: 12-26-25,Language: English
The Harvest Loaf,By: Richard Austin,Length: 1 hr and 7 mins,Release date: 06-30-25,Language: English
Only for Love,By: Natasha Madison,Length: 10 hrs,Release date: 01-27-26,Language: English
He Who Fights with Monsters 7,"By: Shirtaloon, Travis Deverell",Length: 18 hrs and 39 mins,Release date: 09-13-22,Language: English
Zodiac Academy 8,"By: Caroline Peckham, Susanne Valenti",Length: 36 hrs and 41 mins,Release date: 01-03-23,Language: English
The Subtle Art of Not Giving a F*ck,By: Mark Manson,Length: 5 hrs and 17 mins,Release date: 09-13-16,Language: English
Defiance of the Fall 3,"By: TheFirstDefier, JF Brink",Length: 24 hrs and 34 mins,Release date: 11-30-21,Language: English
Defiance of the Fall 6,"By: TheFirstDefier, JF Brink",Length: 23 hrs and 1 min,Release date: 08-16-22,Language: English
We Are Legion (We Are Bob),By: Dennis E. Taylor,Length: 9 hrs and 56 mins,Release date: 09-20-16,Language: English
A Hero's Choice: An Isekai LitRPG,"By: Tommy Kerper, SourpatchHero",Length: 15 hrs and 42 mins,Release date: 12-02-25,Language: English
From Fear to Eternity,By: Amanda M. Lee,Length: 9 hrs and 35 mins,Release date: 12-29-25,Language: English
The Housewife Next Door,By: LynDee Walker,Length: 11 hrs and 10 mins,Release date: 01-07-26,Language: English
Man's Search for Meaning,By: Viktor E. Frankl,Length: 5 hrs and 43 mins,Release date: 04-09-24,Language: English
Mage Tank 2: A LitRPG Adventure,By: Cornman,Length: 19 hrs and 27 mins,Release date: 06-11-25,Language: English
Bad Duke,By: Lilah Raine,Length: 8 hrs and 46 mins,Release date: 01-06-26,Language: English
Reminders of Him,By: Colleen Hoover,Length: 10 hrs and 17 mins,Release date: 01-18-22,Language: English
The Next Evolution Ethics for a Sustainable Civilization,By: Ronald Nolan,Length: 2 hrs and 50 mins,Release date: 12-15-25,Language: English
Onyx Storm,By: Rebecca Yarros,Length: 23 hrs and 52 mins,Release date: 01-21-25,Language: English
Whispers of Willowridge,By: Tammy Kidd,Length: 1 hr and 11 mins,Release date: 08-13-25,Language: English
Dream Lost,By: Alessa Thorn,Length: 6 hrs and 40 mins,Release date: 01-06-26,Language: English
He Sees You,By: Elizabeth Knox,Length: 6 hrs and 44 mins,Release date: 12-29-25,Language: English
Brimstone,By: Callie Hart,Length: 24 hrs and 30 mins,Release date: 11-18-25,Language: English
Project Hail Mary,By: Andy Weir,Length: 16 hrs and 10 mins,Release date: 05-04-21,Language: English
Unfu*k Yourself,By: Gary John Bishop,Length: 3 hrs and 24 mins,Release date: 08-01-17,Language: English
Rise of the Living Forge 4,By: Actus,Length: 20 hrs and 31 mins,Release date: 10-15-25,Language: English
The Regulated Bitch,By: Gwen Taylor,Length: 5 hrs and 8 mins,Release date: 12-24-25,Language: English
He Who Fights with Monsters 12: A LitRPG Adventure,"By: Shirtaloon, Travis Deverell",Length: 19 hrs and 26 mins,Release date: 05-20-25,Language: English
Apocalypse in Pieces Anthology Vol. 2,"By: Mark Sibley, Philip Voodoo, Bradley R. Mitzelfelt, Joe Dolio, Don Shift, Peter Nealen, Ryan Young, David Walcher, Ryan Williamson, Jim Kiernan, Lafayette Lee, Danielle Cashat, Alex Aaronson",Length: 11 hrs and 17 mins,Release date: 01-06-26,Language: English
Three BFFs and a Wedding: The Complete Series,By: Pippa Grant,Length: 43 hrs and 2 mins,Release date: 06-13-25,Language: English
The Primal Hunter 7 - A LitRPG Adventure,By: Zogarth,Length: 17 hrs and 49 mins,Release date: 11-21-23,Language: English
Gate Lord Omnibus,"By: Dante King, Ryan Vermont",Length: 27 hrs and 19 mins,Release date: 12-17-25,Language: English
The Primal Hunter 8,By: Zogarth,Length: 19 hrs and 50 mins,Release date: 01-17-24,Language: English
Dare to Love Me: An Opposites Attract Romance,By: Rosa Lucas,Length: 13 hrs and 19 mins,Release date: 12-23-25,Language: English
The Primal Hunter 11,By: Zogarth,Length: 23 hrs and 31 mins,Release date: 03-05-25,Language: English
Paint it Red,By: Cheyenne Browning,Length: 1 hr and 58 mins,Release date: 01-05-26,Language: English
Cómo Abrazar a un Puercoespín,By: Sean Smith,Length: 1 hr and 24 mins,Release date: 12-23-25,Language: Spanish
The Trip,By: Audrey J. Cole,Length: 9 hrs and 2 mins,Release date: 01-06-26,Language: English
The Fires of Heaven,By: Robert Jordan,Length: 36 hrs and 27 mins,Release date: 03-02-05,Language: English
Star Wars: Darth Plagueis,By: James Luceno,Length: 14 hrs and 45 mins,Release date: 01-10-12,Language: English
The Man Who Fell from the Sky,By: Anita Frank,Length: 7 hrs and 26 mins,Release date: 10-16-25,Language: English
King of Envy,"By: Ana Huang, Patricia Woitynek",Length: 19 hrs and 13 mins,Release date: 10-31-25,Language: German
Onyx Storm (Part 1 of 2) (Dramatized Adaptation),By: Rebecca Yarros,Length: 9 hrs and 41 mins,Release date: 05-07-25,Language: English
The Jester,By: Michael J. Sullivan,Length: 53 mins,Release date: 12-12-25,Language: English
Nuclear Winter Series Box Set,By: Bobby Akart,Length: 30 hrs and 31 mins,Release date: 12-03-25,Language: English
Ilusión Narcisista,By: Rita Swanson,Length: 7 hrs and 44 mins,Release date: 01-02-26,Language: Spanish
Change Your Life In Seven Days,By: Paul McKenna,Length: 5 hrs and 8 mins,Release date: 12-31-25,Language: English
Speak,By: J.L. Seegars,Length: 4 hrs and 21 mins,Release date: 01-06-26,Language: English
Shadow's Sacrifice,"By: Mary Stone, Lori Rhodes",Length: 7 hrs and 26 mins,Release date: 01-06-26,Language: English
Lord of Chaos,By: Robert Jordan,Length: 41 hrs and 32 mins,Release date: 08-02-05,Language: English
God Is God and I'm Not,By: Timothy Z. Witmer,Length: 5 hrs and 23 mins,Release date: 01-06-26,Language: English
The Twelfth Conclave,By: A. F. Kay,Length: 18 hrs and 7 mins,Release date: 10-31-25,Language: English
The Dating in Duet Collection,By: Lauren Blakely,Length: 36 hrs and 3 mins,Release date: 12-09-25,Language: English
The Love in Duet Collection,By: Lauren Blakely,Length: 32 hrs and 45 mins,Release date: 07-16-24,Language: English
"The America Falls Omnibus, Books 1-11",By: Scott Medbury,Length: 59 hrs and 35 mins,Release date: 08-23-24,Language: English
"New You, New Life",By: Dr. Joe Dispenza,Length: 4 hrs and 56 mins,Release date: 12-30-25,Language: English
The Hellbeast's Betrayal,By: Stephanie Hudson,Length: 8 hrs and 15 mins,Release date: 01-06-26,Language: English
A Court of Mist and Fury (Part 1 of 2) (Dramatized Adaptation),By: Sarah J. Maas,Length: 8 hrs and 26 mins,Release date: 06-01-22,Language: English
Defiance of the Fall 7,"By: TheFirstDefier, JF Brink",Length: 23 hrs and 3 mins,Release date: 10-26-22,Language: English
Wilder in Love,By: Charlie Cochet,Length: 2 hrs and 24 mins,Release date: 01-07-26,Language: English
Fallout,By: Craig Alanson,Length: 22 hrs and 29 mins,Release date: 12-07-21,Language: English
How to Test Negative for Stupid,By: John Kennedy,Length: 8 hrs and 13 mins,Release date: 10-07-25,Language: English
A Mother's Love,By: Dale Mayer,Length: 9 hrs and 54 mins,Release date: 12-31-25,Language: English
Black Bear,By: Merrill Osmond,Length: 5 hrs and 47 mins,Release date: 12-26-25,Language: English
Protecting Bree,By: Susan Stoker,Length: 9 hrs and 27 mins,Release date: 12-30-25,Language: English
Revelation,By: Eva Winners,Length: 8 hrs and 10 mins,Release date: 12-24-25,Language: English
Take Control of Your Life,By: Mel Robbins,Length: 10 hrs and 3 mins,Release date: 02-07-19,Language: English
Game Changers Volume 2,By: Rachel Reid,Length: 33 hrs and 1 min,Release date: 09-02-25,Language: English
The Housemaid,By: Freida McFadden,Length: 9 hrs and 46 mins,Release date: 04-26-22,Language: English
The Housemaid's Secret,By: Freida McFadden,Length: 9 hrs and 44 mins,Release date: 02-20-23,Language: English
Hero of Another World,"By: Dante King, Matt Waid",Length: 11 hrs and 37 mins,Release date: 12-30-25,Language: English
The Lost & Found Box Set,By: Catherine Cowles,Length: 47 hrs and 54 mins,Release date: 12-10-25,Language: English
Delving Deep,By: Deacon Frost,Length: 11 hrs and 40 mins,Release date: 12-31-25,Language: English
Portraits of a Killer,By: Ellen Barksdale,Length: 4 hrs and 20 mins,Release date: 01-01-26,Language: English
Christmas with the Steeles,By: Brenda Jackson,Length: 6 hrs and 50 mins,Release date: 12-16-25,Language: English
The Primal Hunter 12,By: Zogarth,Length: 20 hrs and 7 mins,Release date: 06-11-25,Language: English
Recklessly Damaged,By: Steph Macca,Length: 5 hrs and 24 mins,Release date: 12-09-25,Language: English
You're Next,By: Tate James,Length: 10 hrs and 30 mins,Release date: 10-14-25,Language: English
Stop Letting Everything Affect You,By: Daniel Chidiac,Length: 3 hrs and 44 mins,Release date: 07-24-25,Language: English
"How to Love Yourself: Build Unshakable Self-Confidence, Break Free from Toxic People, and Silence Your Inner Critic in 7 Simple Steps",By: Rita Hayes,Length: 1 hr and 44 mins,Release date: 01-07-26,Language: English
Ram,By: J. Pavey,Length: 4 hrs and 17 mins,Release date: 01-05-26,Language: English
Dropsite Massacre,By: John French,Length: 11 hrs and 26 mins,Release date: 10-24-25,Language: English
Supernatural Institute: The Complete Series (Books 1-4),By: Krista Street,Length: 30 hrs and 43 mins,Release date: 12-19-25,Language: English
Defiance of the Fall 15,"By: TheFirstDefier, JF Brink",Length: 21 hrs and 38 mins,Release date: 07-16-25,Language: English
The Devoted Game,By: Debra Webb,Length: 10 hrs and 2 mins,Release date: 01-06-26,Language: English
All DEAD,By: T. W. Brown,Length: 143 hrs and 15 mins,Release date: 09-27-19,Language: English
The Strength of the Few,By: James Islington,Length: 31 hrs and 8 mins,Release date: 11-11-25,Language: English
