Title,Author,Runtime,Release Date,Language
Here Comes the Marshal,"By: Marcus Sloss, Alex Prone",Length: 11 hrs and 55 mins,Release date: 01-06-26,Language: English
Be Your Own Bestie,By: Misha Brown,Length: 7 hrs,Release date: 02-17-26,Language: English
Voltsmith,By: Aest Belequa,Length: 20 hrs,Release date: 01-06-26,Language: English
"Steady Mind, Silent Power",By: Harlan Salazar,Length: 3 hrs,Release date: 01-05-26,Language: English
Birds in the Sky,By: Ashley Antoinette,Length: 9 hrs and 48 mins,Release date: 12-15-25,Language: English
Building Confident Kids: A Parenting Guide,By: Josephine Chavez,Length: 3 hrs and 41 mins,Release date: 01-05-26,Language: English
"Ashlani's Reincarnation, Volume 1",By: Ben Denton,Length: 15 hrs and 32 mins,Release date: 01-06-26,Language: English
The Improbable Meet-Cute: Second Chances,"By: Christina Lauren, Hannah Bonam-Young, Julie Soto, Trilina Pucci, Catherine Cowles, Navessa Allen",Length: 11 hrs and 59 mins,Release date: 01-20-26,Language: English
"Any Given Day, Every F*cking Night",By: Ashley Antoinette,Length: 8 hrs and 52 mins,Release date: 12-15-25,Language: English
God's Junk Drawer,By: Peter Clines,Length: Not Yet Known,Release date: 01-20-26,Language: English
Woman Down,By: Colleen Hoover,Length: 11 hrs and 38 mins,Release date: 01-13-26,Language: English
My Husband Next Door,By: K. L. Slater,Length: 9 hrs and 39 mins,Release date: 11-24-25,Language: English
Shadow of the Hunter: An Apocalypse LitRPG,By: Nicholas Searcy,Length: 21 hrs and 33 mins,Release date: 01-06-26,Language: English
Loving Julia,By: Karen Robards,Length: 12 hrs and 19 mins,Release date: 01-05-26,Language: English
Overpowered Magic Goo,By: V.A. Lewis,Length: 10 hrs and 42 mins,Release date: 01-06-26,Language: English
"Narcissistic Illusion: A Dual Guide to Healing from Narcissistic Love, Trauma, and Abuse (2 in 1)",By: Rita Swanson,Length: 6 hrs and 47 mins,Release date: 01-05-26,Language: English
Myth Slayer,"By: The Veiled Man, Hikaru Genji",Length: 18 hrs and 32 mins,Release date: 01-02-26,Language: English
The Way of Dan Box Set,By: Franklin Horton,Length: 40 hrs and 21 mins,Release date: 12-16-25,Language: English
"That Time I Got Reincarnated as a Slime, Vol. 6","By: Fuse, Mitz Mitz Vah, Kevin Gifford - translator",Length: 11 hrs and 20 mins,Release date: 01-13-26,Language: English
The Umbrella That Stole the Rain,By: Patricia Dale Case,Length: 2 hrs and 31 mins,Release date: 10-16-25,Language: English
The Widower,By: D.L. Fisher,Length: 7 hrs and 36 mins,Release date: 01-01-26,Language: English
Flameborne: Chosen,By: Aimee Lynn,Length: 14 hrs and 47 mins,Release date: 01-06-26,Language: English
God of Malice,By: Rina Kent,Length: 14 hrs and 24 mins,Release date: 12-18-25,Language: English
The Library of Forgotten Dreams,By: Deandra Spiess,Length: 1 hr and 52 mins,Release date: 10-27-25,Language: English
Covenant of Corruption,By: Aisling Elizabeth,Length: 11 hrs and 28 mins,Release date: 01-07-26,Language: English
The Last Paladin #3,"By: Roman Savarovsky, Julia Fouche - translator",Length: 8 hrs and 4 mins,Release date: 01-06-26,Language: English
Playing for Keeps,By: Alexandria Bellefleur,Length: 10 hrs and 18 mins,Release date: 01-06-26,Language: English
The Academy,"By: Always RollsAOne, Erick Thiemke",Length: 18 hrs and 13 mins,Release date: 12-15-25,Language: English
Thief's Gift: Book 2,By: James Haddock,Length: 7 hrs and 58 mins,Release date: 01-02-26,Language: English
Nine Rivers Sect,By: Greg Tolley,Length: 22 hrs and 21 mins,Release date: 12-17-25,Language: English
The Clock That Sang at Midnight,By: Rodney Dwayne Hurley,Length: 2 hrs and 10 mins,Release date: 10-31-25,Language: English
Fool Moon (Dramatized Adaptation),By: Jim Butcher,Length: 9 hrs and 38 mins,Release date: 01-12-26,Language: English
All Accounts Settled,By: Drew Hayes,Length: 11 hrs and 44 mins,Release date: 01-13-26,Language: English
The Cartographer of Borrowed Skies,By: Carol Reed,Length: 2 hrs and 39 mins,Release date: 10-27-25,Language: English
The Boy Who Borrowed Shadows,By: Arnetta Braelle,Length: 2 hrs and 8 mins,Release date: 10-27-25,Language: English
Ewes and Eulogies,By: Ramey James,Length: 7 hrs and 38 mins,Release date: 01-05-26,Language: English
